-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                   execute_context_0(0)_generation_1(1)         0.00%       0.000us         0.00%       0.000us       0.000us        7.079s       108.85%        7.079s      35.571ms           199  
                execute_context_1(8192)_generation_0(0)         0.00%       0.000us         0.00%       0.000us       0.000us        3.142s        48.31%        3.142s        1.047s             3  
                                _vllm_fa2_C::varlen_fwd         2.13%     230.677ms         7.30%     789.732ms     108.064us        3.014s        46.34%        3.058s     418.412us          7308  
                                               aten::mm        11.78%        1.274s        15.61%        1.688s      57.339us        2.918s        44.87%        2.918s      99.141us         29435  
void flash::flash_fwd_splitkv_kernel<Flash_fwd_kerne...         0.00%       0.000us         0.00%       0.000us       0.000us        2.108s        32.41%        2.108s      14.637ms           144  
ampere_bf16_s16816gemm_bf16_128x256_ldg8_f2f_stages_...         0.00%       0.000us         0.00%       0.000us       0.000us     931.605ms        14.33%     931.605ms       2.588ms           360  
void flash::flash_fwd_splitkv_kernel<Flash_fwd_kerne...         0.00%       0.000us         0.00%       0.000us       0.000us     747.964ms        11.50%     747.964ms     104.406us          7164  
ampere_bf16_s16816gemm_bf16_128x64_ldg8_f2f_stages_3...         0.00%       0.000us         0.00%       0.000us       0.000us     625.921ms         9.63%     625.921ms      87.370us          7164  
                execute_context_1(2716)_generation_0(0)         0.00%       0.000us         0.00%       0.000us       0.000us     579.854ms         8.92%     579.854ms     579.854ms             1  
ampere_bf16_s16816gemm_bf16_256x128_ldg8_f2f_stages_...         0.00%       0.000us         0.00%       0.000us       0.000us     409.965ms         6.30%     409.965ms       1.898ms           216  
ampere_bf16_s16816gemm_bf16_64x64_sliced1x2_ldg8_f2f...         0.00%       0.000us         0.00%       0.000us       0.000us     337.015ms         5.18%     337.015ms      47.043us          7164  
void cutlass::Kernel2<cutlass_80_tensorop_bf16_s1681...         0.00%       0.000us         0.00%       0.000us       0.000us     233.292ms         3.59%     233.292ms      32.564us          7164  
void cutlass::Kernel2<cutlass_80_tensorop_s16816gemm...         0.00%       0.000us         0.00%       0.000us       0.000us     175.339ms         2.70%     175.339ms      24.475us          7164  
void flash::flash_fwd_splitkv_combine_kernel<Flash_f...         0.00%       0.000us         0.00%       0.000us       0.000us     158.026ms         2.43%     158.026ms      22.058us          7164  
                                           _C::rms_norm         0.56%      60.933ms         1.71%     185.264ms      12.502us     134.973ms         2.08%     134.979ms       9.109us         14819  
void vllm::rms_norm_kernel<c10::BFloat16, 8, 3>(c10:...         0.00%       0.000us         0.00%       0.000us       0.000us     133.595ms         2.05%     133.595ms       9.140us         14616  
