-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                   execute_context_0(0)_generation_1(1)         0.00%       0.000us         0.00%       0.000us       0.000us        7.269s       116.69%        7.269s      36.527ms           199  
                execute_context_1(8192)_generation_0(0)         0.00%       0.000us         0.00%       0.000us       0.000us        3.072s        49.32%        3.072s        1.024s             3  
                                               aten::mm         6.08%     698.419ms         9.69%        1.114s      37.844us        2.918s        46.85%        2.919s      99.162us         29435  
                                _vllm_fa2_C::varlen_fwd         1.97%     226.844ms         6.99%     803.826ms     109.993us        2.696s        43.27%        2.740s     374.882us          7308  
void flash::flash_fwd_splitkv_kernel<Flash_fwd_kerne...         0.00%       0.000us         0.00%       0.000us       0.000us        2.109s        33.86%        2.109s      14.646ms           144  
ampere_bf16_s16816gemm_bf16_128x256_ldg8_f2f_stages_...         0.00%       0.000us         0.00%       0.000us       0.000us     931.549ms        14.95%     931.549ms       2.588ms           360  
ampere_bf16_s16816gemm_bf16_128x64_ldg8_f2f_stages_3...         0.00%       0.000us         0.00%       0.000us       0.000us     626.632ms        10.06%     626.632ms      87.470us          7164  
                execute_context_1(2716)_generation_0(0)         0.00%       0.000us         0.00%       0.000us       0.000us     580.133ms         9.31%     580.133ms     580.133ms             1  
void flash::flash_fwd_splitkv_kernel<Flash_fwd_kerne...         0.00%       0.000us         0.00%       0.000us       0.000us     431.526ms         6.93%     431.526ms      60.235us          7164  
ampere_bf16_s16816gemm_bf16_256x128_ldg8_f2f_stages_...         0.00%       0.000us         0.00%       0.000us       0.000us     409.994ms         6.58%     409.994ms       1.898ms           216  
ampere_bf16_s16816gemm_bf16_64x64_sliced1x2_ldg8_f2f...         0.00%       0.000us         0.00%       0.000us       0.000us     336.932ms         5.41%     336.932ms      47.031us          7164  
void cutlass::Kernel2<cutlass_80_tensorop_bf16_s1681...         0.00%       0.000us         0.00%       0.000us       0.000us     233.117ms         3.74%     233.117ms      32.540us          7164  
void cutlass::Kernel2<cutlass_80_tensorop_s16816gemm...         0.00%       0.000us         0.00%       0.000us       0.000us     175.358ms         2.81%     175.358ms      24.478us          7164  
void flash::flash_fwd_splitkv_combine_kernel<Flash_f...         0.00%       0.000us         0.00%       0.000us       0.000us     155.188ms         2.49%     155.188ms      21.662us          7164  
                                           _C::rms_norm         0.54%      62.545ms         1.65%     189.259ms      12.771us     134.581ms         2.16%     134.586ms       9.082us         14819  
void vllm::rms_norm_kernel<c10::BFloat16, 8, 3>(c10:...         0.00%       0.000us         0.00%       0.000us       0.000us     133.206ms         2.14%     133.206ms       9.114us         14616  
